event_id,event_name,date,year,country,state,city
1964,HEMA Open Getxo 2023,November 11,2023,Spain,-,Bilbao
1936,Berlin Duelling Day 2023,November 11,2023,Germany,-,Berlin
1939,Goats of War 2023,November 11,2023,Belgium,-,Fallais
1937,Central Asia HEMA Cup 2023,November 11,2023,Kazakhstan,-,Almaty
1925,Kolaudacka nové haly 2023,November 5,2023,Czech Republic,-,Brno
1960,Zizkovske kolo 2023,November 5,2023,Czech Republic,-,Prague
1954,AFO Tournament of Defense 2023,November 4,2023,United States,Texas,Bellville
1927,The Wrathful Peasants' Super Serious Tournament 2023,November 4,2023,Ireland,-,Feakle
1926,Sofia CrossSwords 2023,November 4,2023,Bulgaria,-,-
1924,Krkavcí podzimní fechtík 2023,October 28,2023,Czech Republic,-,Prague
1987,SLMS 2023,October 28,2023,Austria,-,Salzburg
1978,Fright Fight 2023,October 27,2023,United States,Arizona,Phoenix
1958,Krump Pow 2023,October 27,2023,United States,Wisconsin,Appleton
1930,World Broadsword Cup 2023,October 27,2023,Australia,South Australia,Adelaide
1934,Octoberhau 2023,October 21,2023,United States,California,Carlsbad
1919,Wessex League 2023: Taunton Chapter,October 21,2023,United Kingdom,-,Taunton
1923,Duel For The Jewel 2023,October 21,2023,United States,Ohio,Bellbrook
1914,Tyrnhaw 2023,October 21,2023,Slovakia,-,Trnava
1932,OktoberFecht 2023,October 21,2023,Australia,Victoria,Melbourne
1970,Torneio Flor de Aço 2023,October 21,2023,Brazil,-,Salvador
1909,Boston Hema League October 2023,October 15,2023,United States,Massachusetts,Boston
1910,Four Openings Rapier Tournament 2023,October 14,2023,United States,Michigan,Lansing
1959,Swiss Bears Cup 2023,October 7,2023,Switzerland,-,Bern
1903,Swordmasters Cup 2023,October 7,2023,Poland,-,Wroclaw
1906,Budapest Blade Brawl 2023,October 7,2023,Hungary,-,Budapest
1921,Danmarksmesterskaber HEMA 2023,October 7,2023,Denmark,-,Odense
1898,Steve Hodgson Memorial Tournament 2023,September 30,2023,New Zealand,-,Auckland
1912,I.Lake Hema 2023,September 30,2023,Italy,-,Como
1941,The Duelling Arts - Fall Tournament 2023,September 29,2023,Canada,British Columbia,Vancouver
1920,Torneio Estadual de Sabre Militar Histórico – Copa Ignis Etapa Sabre 2023,September 24,2023,Brazil,-,Curitiba
1907,Iron Gate Exhibition 2023,September 22,2023,United States,New Hampshire,Fremont
1917,Swordplay Australia 2023,September 22,2023,Australia,Queensland,Brisbane
1891,Wessex League: Winnersh,September 16,2023,United Kingdom,-,Winnersh
1895,Blades of Glory King's Cup,September 16,2023,Canada,Ontario,Peterborough
1908,Dragoon Sabre 2023,September 16,2023,Czech Republic,-,Pardubice
1888,HEMA Union Open Saber 2023,September 10,2023,Taiwan,-,New Taipei City
1894,Blademasters Cup 2023,September 9,2023,Ireland,-,Cork
1911,Flügelschlag Oßweil 2023,September 9,2023,Germany,-,Ludwigsburg Oßweil
1963,Mistrovstvi sermu nozem 2023,September 9,2023,Czech Republic,-,Prague
1979,Swordsquatch 2023,September 8,2023,United States,Washington,Seattle
1889,Oslo Penguin Cup 2023,September 2,2023,Norway,-,Oslo
1897,Bellum Vitudurum 2023,August 26,2023,Switzerland,-,Winterthur
1892,Steel Jam II Summer Bash 2023,August 26,2023,United States,Florida,Winter Park
1913,Hanseschlag Hamburg 2023,August 26,2023,Germany,-,Hamburg
1878,The Teutonic Fecht 2023,August 26,2023,Romania,-,Hârman
